id,text,start,end
5535415699068794046/00025,OPEN THE INSIDE SHOULD BE NICE AND SOFT AND REALLY OOZE OUT SO LET'S SEE IF THAT'S GOING TO HAPPEN,0.000,-1.000
5535415699068794046/00019,POSSIBLE TO MAKE THEM SO CHEAPLY WELL TO FIND OUT I'M GOING TO MAKE MY OWN,0.000,-1.000
5535415699068794046/00027,IT LOOKS GOOD IT COULD TASTE A BIT BETTER,0.000,-1.000
5535415699068794046/00022,WELL SO IN THEORY I COULD LABEL THIS ON THE INGREDIENTS AS MEAT,0.000,-1.000
5535415699068794046/00023,WOULD CALL MEAT BUT I SUPPOSE IT'S USING AN INGREDIENT,0.000,-1.000
5535415699068794046/00021,HEARD OF MECHANICALLY RECOVERED MEAT IT'S THE KIND OF THING YOU SEE ON THE PACKS OF INGREDIENTS OF CHEAP PROCESSED FOOD LIKE,0.000,-1.000
5535415699068794046/00009,WHEN YOU CUT IT YOU SHOULD BE ABLE TO CUT WITH STANDARD CUTLERY KNIFE NOT A,0.000,-1.000
5535415699068794046/00020,WITH A CARCASS THERE'S STILL QUITE A LOT OF MEAT LEFT ON HERE BUT IF YOU MULTIPLY THIS BY MILLIONS OF CHICKENS THAT'S A HUGE AMOUNT OF MEAT SO WHAT ARE WE GOING TO DO WITH IT THROW IT AWAY WELL,0.000,-1.000
5535415699068794046/00011,TROUBLE IS YOU CAN'T CREATE THAT CRISPY SKIN IN THE OVEN FROM JUST RAW,0.000,-1.000
5535415699068794046/00005,AND HOPEFULLY CHIP SHAPED POTATOES COME THROUGH,0.000,-1.000
5535415699068794046/00010,FRESH OUT THE FRYER NOW APART FROM THE GOLDEN COLOUR AND THE DELICIOUS FLAVOUR WHAT REALLY MAKES A CHIP A CHIP IS THE CRUNCH,0.000,-1.000
5535415699068794046/00006,SO IF YOU HAVE IT IN A RESTAURANT AND IT'S DELICIOUS YOU GO BACK NEXT WEEK YOU WANT IT TO BE THE SAME DON'T YOU THAT'S RIGHT THE,0.000,-1.000
5535415699068794046/00012,TAKE THE SLICED UP POTATO AND THEY SOAK THEM IN REALLY HOT WATER THEY,0.000,-1.000
5535415699068794046/00013,REALLY CHIPPY CRUNCHINESS ABOUT THEM DO YOU KNOW WHAT,0.000,-1.000
5535415699068794046/00003,THAT'S THAT DONE NOW WHAT COULD BE BETTER TO FIRE MY POTATOES THROUGH THE SLICER THAN A SPUD,0.000,-1.000
5535415699068794046/00016,GOING TO TAKE UP ANYTHING THAT HAPPENS TO BE LYING AROUND IN THE,0.000,-1.000
5535415699068794046/00002,THE FACTORY THEY USE A SLICING MACHINE CALLED A HYDRO CUTTER WHICH INVOLVES FIRING A POTATO DOWN A PIPE THROUGH WHAT THEY CALL A KNIFE BLOCK THAT SLICES THE POTATO INTO CHIP,0.000,-1.000
5535415699068794046/00014,CAN'T REALLY TELL THE DIFFERENCE BETWEEN MY OVEN CHIPS AND THE ONES FROM THE SUPERMARKET,0.000,-1.000
5535415699068794046/00028,A SCHOOL FOR STEAKS SEEN THE PROCESSING BEHIND A CHEAP CHICKEN KIEV AND MADE EXPLOSIVE OVEN CHIPS I HAD NO IDEA PUB GRUB HELD SO MANY SECRETS,0.000,-1.000
5535415699068794046/00001,THESE DAYS WHEN YOU'RE COOKING CHIPS AT HOME THE TRADITIONAL CHIP PAN OFTEN STAYS ON THE SHELF IN FAVOUR OF A BAKING TRAY AND A BAG OF FROZEN OVEN,0.000,-1.000
5536760882825901738/00018,OYSTERS YOU DON'T JUST GRAB THEM OUT OF THE SEA AND EAT THEM YOU DO PURIFY THEM BUT THAT'S ALL SO THEY JUST RUN THEM THROUGH UV LIGHT WATER WHICH HAS BEEN TREATED WITH UV LIGHT,0.000,-1.000
5536760882825901738/00030,THAT UP THE BIGGER IT GETS THE MORE EFFICIENT AND IT WORKS BETTER,0.000,-1.000
5536760882825901738/00025,ALWAYS GET ONE THAT DECIDES IT'S GOING TO DO SOMETHING HORRIBLE BUT 99 75 ARE GOOD,0.000,-1.000
5536760882825901738/00026,WHICH IS OPEN BEFORE YOU OPEN IT BECAUSE THAT'S DEAD NEVER EAT A DEAD OYSTER SECONDLY IF THERE'S MUD INSIDE,0.000,-1.000
5536760882825901738/00022,OYSTERS COME IN DIFFERENT TEXTURES THE ONES WE HAVE IN THE WINTER HAVE A BIGGER MUSCLE,0.000,-1.000
5536760882825901738/00036,LOOKING AT THESE YOU CAN SEE HOW MUCH THEY GNAW IN ONE GO IT'S ABOUT 5 MM,0.000,-1.000
5536760882825901738/00035,AND ONE THAT A TEAM OF VOLUNTEERS WORKS LONG HOURS TO MAINTAIN BUT THAT'S NOT NECESSARILY THE KIND OF TEAM YOU'RE THINKING,0.000,-1.000
5536760882825901738/00009,AREA UNDER HOPS AT THE END OF THE 19TH CENTURY WAS PROBABLY SOMETHING AROUND 77 000 AND TODAY FIVE SIX,0.000,-1.000
5536760882825901738/00008,HISTORY HALF THE HOPS EVER PRODUCED HAVE COME FROM HERE AND IT'S BECAUSE OF,0.000,-1.000
5536760882825901738/00020,SAY THEY SORT OF CRINGE AND THEN THEY JUST EAT THEM WELL LEMON AND FISH ANYWAY YEAH,0.000,-1.000
5536760882825901738/00053,IF WE CAN DO A DEAL WITH THEM TO GET A COUPLE OF NEW TRAINS THAT WOULD BE,0.000,-1.000
5536760882825901738/00047,IMPORTANT FIND AND IT MEANS THAT THIS PLASTER WORK IS IN FACT EXTREMELY PRECIOUS THAT WE KEEP THIS,0.000,-1.000
5536760882825901738/00046,A LITTLE MASS DIAL WHICH IS JUST INSCRIBED INTO THE SURFACE OF THE PLASTER IT'S LIKE A SUNDIAL A VERY EARLY CLOCK,0.000,-1.000
5536760882825901738/00052,SOME SPARE ONES THERE'S ONE IN A MIRROR IMAGE,0.000,-1.000
5536760882825901738/00050,THE PLAN WHAT'S THE VISION FOR DREAMLAND THE VISION IS TO TAKE IT BACK TO HOW IT WAS POSSIBLY IN THE 50S OR,0.000,-1.000
5536760882825901738/00051,UNTIL ABOUT 2007 WHEN THE PARK CLOSED,0.000,-1.000
5536760882825901738/00041,NUMBER OF FENLAND PLANTS AND INSECTS WHICH REQUIRE RELATIVELY OPEN CONDITIONS WHAT THE BEAVERS DO IS THEY INCREASE THE DIVERSITY OF HABITATS WITHIN THE,0.000,-1.000
5536760882825901738/00069,AT RISK REGISTER BECAUSE WE DO HAVE SOME QUITE SERIOUS CONSERVATION PROBLEMS I HAVE TO KEEP TALKING TO ENGLISH HERITAGE ABOUT WHAT THE RIGHT THING TO DO IS I'M NOT AN EXPERT OBVIOUSLY I'M JUST THE,0.000,-1.000
5536760882825901738/00068,IT IN BLACK AND WHITE COMPARED TO WHAT IT WOULD HAVE BEEN EXACTLY YEAH AND BECAUSE,0.000,-1.000
5536760882825901738/00040,THAT'S BECAUSE THEY'VE DONE A LOT OF WORK HERE IN THE PAST WHAT THAT MEANS IS THAT THEY'VE,0.000,-1.000
5536760882825901738/00056,BEEN LOST OVER THE YEARS WHICH IS REALLY SAD I THINK IT CAN COME,0.000,-1.000
5536760882825901738/00043,GET TO LOOK AT THEM OUT OF THE WATER FROM THE BACK LEGS,0.000,-1.000
5536760882825901738/00057_0,THE CURRENT OCCUPANT IS A VERY OLD FRIEND OF MINE,0.000,3.655
5536760882825901738/00057_1,BUT IT'S BEEN A NATIONAL TRUST GARDEN,3.655,6.020
5536760882825901738/00057_2,FOR AROUND 40 YEARS,6.020,9.230
5536760882825901738/00057_3,AND IT SEEMS TO ME THE NATIONAL TRUST,9.230,11.350
